"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\ADNAN\Documents\travisor\server\database\mongodb.js", "JavaScript", 15, 0, 0, 3, 18
"c:\Users\ADNAN\Documents\travisor\server\index.js", "JavaScript", 27, 0, 0, 2, 29
"c:\Users\ADNAN\Documents\travisor\server\models\agency.js", "JavaScript", 17, 0, 0, 3, 20
"c:\Users\ADNAN\Documents\travisor\server\models\booked-package.js", "JavaScript", 31, 0, 0, 3, 34
"c:\Users\ADNAN\Documents\travisor\server\models\booking.js", "JavaScript", 14, 0, 0, 4, 18
"c:\Users\ADNAN\Documents\travisor\server\models\customer-request.js", "JavaScript", 16, 0, 0, 3, 19
"c:\Users\ADNAN\Documents\travisor\server\models\travel-package.js", "JavaScript", 25, 0, 0, 3, 28
"c:\Users\ADNAN\Documents\travisor\server\models\user.js", "JavaScript", 16, 0, 0, 3, 19
"c:\Users\ADNAN\Documents\travisor\server\package-lock.json", "JSON", 0, 2272, 0, 1, 2273
"c:\Users\ADNAN\Documents\travisor\server\package.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\ADNAN\Documents\travisor\server\routes\agency-route.js", "JavaScript", 19, 0, 0, 7, 26
"c:\Users\ADNAN\Documents\travisor\server\routes\customer-request-route.js", "JavaScript", 14, 0, 0, 3, 17
"c:\Users\ADNAN\Documents\travisor\server\routes\package-route.js", "JavaScript", 69, 0, 0, 10, 79
"c:\Users\ADNAN\Documents\travisor\server\routes\user-route.js", "JavaScript", 21, 0, 0, 7, 28
"c:\Users\ADNAN\Documents\travisor\server\util\authentication.js", "JavaScript", 14, 0, 0, 1, 15
"c:\Users\ADNAN\Documents\travisor\server\util\validation.js", "JavaScript", 16, 0, 0, 2, 18
"Total", "-", 314, 2301, 0, 56, 2671
